Time,Volt_In,Volt_Out
4094780,3.3,1016
4094783,3.3,1019
4094786,3.3,1021
4094789,3.3,1022
4094793,3.3,1022
4094796,3.3,1022
4094799,3.3,1021
4094802,3.3,1019
4094806,3.3,1017
4094809,3.29,1013
4094812,3.27,1009
4094817,3.25,1001
4094820,3.23,995
4094824,3.21,988
4094827,3.18,981
4094830,3.16,973
4094834,3.13,964
4094837,3.1,954
4094840,3.06,944
4094843,3.03,933
4094847,2.99,921
4094850,2.95,909
4094853,2.91,896
4094856,2.86,882
4094860,2.82,868
4094863,2.78,854
4094866,2.72,839
4094869,2.67,823
4094873,2.62,807
4094876,2.57,791
4094879,2.51,774
4094883,2.46,756
4094886,2.41,739
4094889,2.35,721
4094892,2.28,702
4094896,2.22,683
4094899,2.17,665
4094902,2.1,645
4094905,2.04,626
4094909,1.97,606
4094912,1.91,587
4094915,1.84,567
4094918,1.78,547
4094922,1.72,527
4094925,1.65,507
4094928,1.59,487
4094932,1.52,467
4094935,1.46,447
4094938,1.39,428
4094941,1.33,408
4094945,1.27,388
4094948,1.2,369
4094951,1.14,350
4094954,1.08,331
4094958,1.02,313
4094961,0.96,294
4094964,0.9,276
4094967,0.85,259
